year,avg_temp_c,rain_mm,max_temp_c,max_temp_c_1
2000,7.33,0.0,14.0,2.11
2000,5.17,0.0,10.0,-0.89
2000,14.89,0.0,20.78,10.5
2000,13.72,0.0,20.22,8.28
2000,17.06,0.0,23.0,9.89
2000,13.72,0.0,20.28,6.78
2000,19.5,0.0,27.22,12.39
2000,16.78,0.0,22.5,10.72
2000,10.89,0.0,17.72,6.22
2000,24.67,0.0,33.0,18.11
2000,13.5,0.0,21.22,6.89
2000,9.17,0.0,15.78,2.61
2000,23.39,0.0,29.39,16.5
2000,8.94,0.0,14.11,4.39
2000,15.06,0.0,21.28,8.5
2000,1.94,0.0,5.39,-3.0
2000,16.5,0.0,22.0,9.39
2000,17.5,0.0,24.0,12.78
2000,7.61,0.0,13.11,3.72
2000,8.67,0.0,11.72,5.89
2000,15.22,0.0,23.5,9.72
2000,14.39,0.0,18.72,8.89
2000,-1.61,0.0,0.0,-3.28
2000,-3.94,0.0,-1.22,-11.0
2000,22.06,0.0,28.0,14.11
2000,19.61,0.0,28.0,10.0
2000,11.17,0.0,19.0,4.28
2000,24.78,0.0,31.28,17.11
2000,23.83,0.0,30.78,15.11
2000,22.72,0.0,29.11,14.72
2000,15.78,0.0,20.61,12.0
2000,-2.0,0.76,-0.72,-6.0
2000,16.44,0.0,22.0,9.72
2000,20.17,0.0,26.22,12.11
2000,17.06,0.76,23.11,13.28
2000,7.94,0.0,15.0,3.0
2000,2.06,0.0,4.28,-0.61
2000,-4.11,0.76,-3.39,-5.0
2000,15.72,0.0,21.11,11.28
2000,2.78,0.0,7.0,-1.0
2000,9.06,0.0,15.0,3.0
2000,-5.44,0.0,-1.72,-8.22
2000,5.17,0.0,10.0,2.0
2000,4.44,0.0,9.22,1.5
2000,7.78,0.76,14.0,3.61
2000,23.06,0.0,29.11,17.0
2000,-6.0,0.0,-1.61,-10.0
2000,25.89,0.0,33.0,12.78
2000,0.39,0.0,2.5,-1.22
2000,7.61,0.0,9.78,4.0
2000,25.61,0.0,32.0,18.39
2000,11.61,0.0,18.0,7.0
2000,17.0,0.0,23.72,12.0
2000,8.94,0.0,11.0,6.89
2000,22.78,0.0,29.39,15.0
2000,17.33,0.0,24.11,11.0
2000,9.89,0.0,16.0,5.61
2000,13.44,0.0,20.5,9.0
2000,26.22,0.0,33.0,19.28
2000,7.78,0.0,12.28,4.61
2000,10.5,0.0,15.78,5.0
2000,1.89,0.76,8.0,-3.0
2000,8.61,3.05,13.78,5.39
2000,17.17,20.07,23.28,12.89
2000,16.0,6.1,20.5,11.89
2000,22.39,0.76,28.61,16.72
2000,2.0,0.51,5.89,-0.11
2000,17.28,,22.78,12.39
2000,7.22,0.51,10.22,3.28
2000,15.33,8.13,20.5,12.5
2000,7.56,6.1,11.0,4.61
2000,0.67,10.92,5.28,-1.22
2000,19.22,,26.72,12.0
2000,12.83,4.32,19.28,7.39
2000,13.39,10.92,17.28,11.11
2000,27.5,,34.28,19.78
2000,10.28,0.76,15.61,5.39
2000,19.39,1.52,24.0,15.78
2000,12.78,7.37,15.0,11.0
2000,17.78,,25.0,8.5
2000,10.06,4.83,15.22,6.5
2000,9.22,,15.5,2.89
2000,2.11,11.94,5.28,0.61
2000,12.56,1.27,15.0,10.28
2000,17.44,0.76,23.11,13.72
2000,13.17,0.76,18.22,9.89
2000,11.0,5.08,13.0,5.78
2000,22.61,,28.28,17.0
2000,7.89,2.03,10.11,5.5
2000,7.17,1.78,10.0,4.22
2000,7.0,0.76,12.0,2.89
2000,18.78,21.08,25.0,14.0
2000,1.61,0.76,6.0,-1.22
2000,3.39,0.51,8.0,-2.0
2000,4.72,1.02,6.28,3.72
2000,14.83,6.6,17.11,12.39
2000,26.89,,34.5,19.39
2000,22.56,4.06,29.0,16.5
2000,8.78,9.14,12.39,6.0
2000,4.5,1.02,6.39,2.22
2000,6.17,0.51,7.22,5.11
2000,7.56,1.02,11.72,4.72
2000,0.11,0.0,5.28,-5.61
2000,4.56,0.0,8.0,-1.11
2000,19.94,0.0,24.5,12.11
2000,17.94,0.0,23.72,9.89
2000,16.06,0.0,22.72,8.78
2000,24.5,0.0,30.22,19.28
2000,4.06,0.0,8.89,-0.39
2000,24.61,0.0,32.22,17.22
2000,29.17,0.0,36.39,21.89
2000,26.61,0.0,33.61,17.22
2000,4.44,7.11,11.22,-0.61
2000,22.67,0.0,29.22,14.72
2000,14.83,0.0,21.0,9.78
2000,15.22,0.0,19.78,9.89
2000,10.0,0.0,18.0,3.89
2000,5.0,0.0,9.5,1.72
2000,9.0,0.0,15.28,4.0
2000,21.78,0.0,27.28,14.89
2000,24.06,0.0,29.61,18.39
2000,5.5,0.0,10.28,0.72
2000,19.11,0.0,25.0,12.5
2000,24.39,0.0,30.0,17.61
2000,22.22,0.0,28.0,14.61
2000,22.06,0.0,29.0,14.11
2000,13.11,0.0,19.5,5.89
2000,3.61,0.0,9.0,-3.0
2000,4.44,0.0,9.89,0.22
2000,4.33,0.0,10.61,-1.22
2000,27.94,0.0,34.0,20.5
2000,24.83,0.0,31.28,17.0
2000,28.89,0.0,36.5,21.39
2000,14.5,6.1,18.39,12.61
2000,18.22,0.0,26.28,11.28
2000,22.89,0.0,29.39,16.61
2000,4.28,0.0,8.39,1.0
2000,26.67,0.0,33.11,18.61
2000,16.56,0.0,21.61,11.78
2000,-2.61,0.0,3.22,-8.22
2000,3.56,0.0,10.0,0.78
2000,6.06,0.0,13.28,-1.0
2000,16.5,0.0,24.0,10.89
2000,0.28,0.0,3.72,-3.0
2000,-3.0,0.0,1.0,-7.28
2000,5.11,0.0,9.22,1.28
2000,19.22,0.0,24.11,12.72
2000,21.94,0.0,28.11,13.72
2000,6.22,0.0,10.22,1.61
2000,15.83,0.0,19.28,11.22
2000,18.06,0.0,23.5,11.11
2000,3.83,0.0,8.0,0.11
2000,14.11,0.0,19.11,9.78
2000,22.33,0.0,28.39,15.61
2000,12.61,0.0,15.5,9.28
2000,14.56,0.0,19.0,11.78
2000,-0.39,0.0,3.78,-5.72
2000,8.28,0.0,14.0,4.5
2000,7.33,0.0,12.89,1.72
2000,14.61,0.0,21.39,8.22
2000,6.67,0.0,9.5,2.72
2000,0.33,2.03,4.0,-2.28
2000,-3.78,0.0,-2.0,-5.0
2000,-1.17,0.0,3.5,-5.0
2000,-5.89,0.76,-3.72,-7.61
2000,26.61,0.0,33.28,19.39
2000,24.28,0.76,29.11,19.11
2000,18.72,7.11,22.22,14.0
2000,2.28,0.0,8.0,-1.11
2000,11.44,0.0,16.28,7.5
2000,8.56,0.0,15.39,2.0
2000,-3.11,0.0,-2.0,-4.0
2000,1.61,0.0,2.61,0.78
2000,-0.11,0.0,5.0,-3.0
2000,2.83,0.0,7.39,0.0
2000,25.28,0.0,31.0,19.0
2000,28.0,0.0,34.22,21.0
2000,-1.11,0.0,3.0,-5.0
2000,-2.28,0.0,-1.5,-3.11
2000,19.22,0.0,25.0,15.0
2000,-3.72,0.0,-1.89,-5.11
2000,1.72,0.0,5.89,-1.0
2000,14.11,0.0,21.61,7.0
2000,22.89,0.76,29.28,16.5
2000,11.44,17.02,13.22,10.22
2000,19.78,4.06,28.11,15.61
2000,16.67,19.81,21.61,13.78
2000,9.39,0.0,12.39,3.61
2000,8.22,0.51,13.0,4.61
2000,6.89,2.03,9.39,3.28
2000,18.94,0.76,24.22,14.0
2000,11.56,0.25,21.22,6.22
2000,18.17,,23.72,12.61
2000,1.0,0.0,3.89,-1.39
2000,23.0,0.76,29.0,16.78
2000,11.72,0.0,14.0,9.28
2000,6.11,0.0,11.0,1.5
2000,21.56,,27.0,13.5
